eventID,eventRemarks,parentEventID,eventDate,locationID,locality,decimalLatitude,decimalLongitude,footprintWKT,geodeticDatum,waterBody,countryCode,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol
UWPHHCZoop_CB1005-20130808DBN,stationVisit,UWPHHCZoop_CB1005,2013-08-08T22:11:00-0700,DB,Dabob,47.378,-123.117,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,69.0,
UWPHHCZoop_CB1007-20130903UND,stationVisit,UWPHHCZoop_CB1007,2013-09-03T14:38:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,68.0,
UWPHHCZoop_CB1007-20130903UNN,stationVisit,UWPHHCZoop_CB1007,2013-09-03T21:19:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,69.0,
UWPHHCZoop_CB1007-20130904HPN,stationVisit,UWPHHCZoop_CB1007,2013-09-04T21:59:00-0700,HP,Hoodsport,47.581,-122.986,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,102.0,
UWPHHCZoop_CB1007-20130905DUN,stationVisit,UWPHHCZoop_CB1007,2013-09-05T22:35:00-0700,DU,Duckabush,47.404,-123.125,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,152.0,
UWPHHCZoop_CB1007-20130906DBD,stationVisit,UWPHHCZoop_CB1007,2013-09-06T14:52:00-0700,DB,Dabob,47.378,-123.117,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,71.0,
UWPHHCZoop_CB1007-20130906DBN,stationVisit,UWPHHCZoop_CB1007,2013-09-06T22:02:00-0700,DB,Dabob,47.378,-123.117,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,61.0,
UWPHHCZoop_CB1007-20130930UND,stationVisit,UWPHHCZoop_CB1007,2013-09-30T13:54:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,59.0,
UWPHHCZoop_CB1007-20130930TWD,stationVisit,UWPHHCZoop_CB1007,2013-09-30T15:52:00-0700,TW,Twanoh,47.371,-123.003,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,27.0,
UWPHHCZoop_CB1007-20130930UNN,stationVisit,UWPHHCZoop_CB1007,2013-09-30T21:18:00-0700,UN,Union,47.812,-122.807,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,63.0,
UWPHHCZoop_CB1009-20131001HPN,stationVisit,UWPHHCZoop_CB1009,2013-10-01T20:57:00-0700,HP,Hoodsport,47.581,-122.986,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,103.0,
UWPHHCZoop_CB1009-20131002DUN,stationVisit,UWPHHCZoop_CB1009,2013-10-02T20:36:00-0700,DU,Duckabush,47.404,-123.125,,EPSG:4386,"Hood Canal, Puget Sound",US,0.0,158.0,
