occurrenceID,life_history_stage
a35d1d27-fa94-4d9d-81f9-b7c4e47265ce,5;_CV
7b3282c3-5fbe-4a01-beca-fe3888fdae61,Female;_Adult
29b07e94-07ed-4ac8-98a0-9bd17c0ef899,Male;_Adult
cb7d5fb1-d6c1-4748-a372-5f2c0fa429ca,2;_CII
de521c21-e0ed-4e13-9eeb-2913614d84f2,3;_CIII
db904f2a-829e-4ca2-9608-493ce792b1fe,4;_CIV
506af35a-3959-4234-8c62-55d9349430d0,5;_CV
5229f4e1-4918-4d14-bc6f-5833b5ad4ba3,Nauplii
0d964aa6-3ceb-46cc-8895-1ee230ad3c3a,Medusa
f21d7e6b-a0ff-43ae-a414-43e5d3676a16,Male;_Adult
7179a874-72f1-4dcc-b2cf-7b677be5e703,Copepodite
200ad7c8-ce64-434c-bce6-1d0dd16eed93,Cal2;_Calyptopis_2
dc116562-89eb-4934-85ba-eee08ad1195c,Cal3;_Calyptopis_3
0cdecc34-454e-4b2a-8a1f-357bba4dc146,Unknown
cfc5eed5-8dc6-4524-a039-a3827ad74c94,Unknown
71ec045d-92bd-48c5-aec6-a8c1702b2a70,Medusa
f45cc55b-ca76-43f6-b632-c6143a571fb2,1;_CI
729faf16-087d-4ec3-a4bf-18abeacbef13,2;_CII
78158f50-782b-427a-a9eb-e397d32ac040,4;_CIV
65245ca5-9234-46dc-888e-2beca185710d,Copepodite
b0f9844b-c987-45ab-a903-8954d87065e6,Male;_Adult
663086f0-9dd6-4354-925d-4c4a3317b2ed,Adult
0253c083-ba05-4eb3-8d3a-1b2951cdf850,Female;_Adult
d289b426-fa85-483c-a840-236860c624c5,Male;_Adult
34e3ad55-3a98-4a16-90fc-a710d653970f,3;_CIII
1c6ffd29-7cb0-46a4-9f20-3a4c21310fa5,4;_CIV
e48b650b-6e2e-4f0d-b70f-bdd075b355c1,5;_CV
fc55052f-3b04-4699-8782-768d42850621,Adult
54d453f8-09fb-4003-9589-dd5faa3ecfad,Unknown
3ff9ba7f-2ecc-42de-8c75-a807a7c6cb03,Female;_Adult
4f68debb-c2dc-48d4-9bef-591fc6c1d391,Male;_Adult
90907a15-da7e-492d-9442-a926bc922612,3;_CIII
c215199a-c207-41bd-975a-e0429418eb4e,4;_CIV
917b70fb-044f-46a4-8635-f95aaf033349,5;_CV
615860b1-2257-4e5e-970b-53647b825c97,Medusa
9fa2f0c7-e1f2-4108-875e-66f939715392,Z1;_Zoea_I
bb4a0a67-b29e-4b25-8e4d-ab6e5590c37e,Z2;_Zoea_II
7e22adf1-bb77-474d-9aaa-e25d34ac7d90,Z3;_Zoea_III
097b8003-1d5b-488d-9b35-8ae899938284,Medusa
cb6f834e-d570-462b-ab74-960bb4f496d3,Unknown
6dfc0365-8efc-4bf4-a9e4-2020191537d5,F1;_Furcilia_1
50eea78c-4f1a-4e36-ac28-424b5aed8276,F2;_Furcilia_2
ec0fad53-d65d-4cb7-9f96-2b01bd6fa564,F3;_Furcilia_3
f2394ee5-0cbf-47fd-82df-253f61cf19e9,F4;_Furcilia_4
925d2e75-e67e-486e-a847-83acfcbd65ed,F6;_Furcilia_6
5f8ca9b3-53a6-406c-8f32-dd1486c145eb,Z5;_Zoea_V
86086f1b-4f87-4d0c-aa72-a0279a91102e,Z1;_Zoea_I
